sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,fdr_qvalue,fdr_reject_10pct
native,earnings_yield,Net income / market cap; negative earnings retained,1m,61,2616,0.049218907988521125,0.042990808332674955,0.22818829473559774,0.5573770491803278,1.5204869631363513,0.12838863283506563,0.6577558513562008,False
native,earnings_yield,Net income / market cap; negative earnings retained,3m,59,2476,0.06992712422052917,0.06510846653646263,0.24592853924918925,0.6101694915254238,1.4949537082589386,0.1349265238713584,0.44333000700589187,False
native,earnings_yield,Net income / market cap; negative earnings retained,6m,56,2266,0.06740777284059245,0.06133214961834359,0.24347273570477226,0.6071428571428571,1.087781925118282,0.276691390726695,0.7071002207459984,False
native,earnings_yield,Net income / market cap; negative earnings retained,12m,50,1857,0.015408160744436352,-0.048022384023075,0.2235646093341867,0.36,0.2237766663845992,0.8229310870932423,0.8229310870932423,False
native,book_to_market,Book equity / market cap,1m,61,2604,0.08675701961758232,0.07534246575342467,0.2894626439186273,0.639344262295082,2.563174678609593,0.010371985108428294,0.23855565749385077,False
native,book_to_market,Book equity / market cap,3m,59,2464,0.12883015678467655,0.14285714285714288,0.23968078054233824,0.7457627118644068,3.3316318127087916,0.0008633840149503413,0.009940640017707558,True
native,book_to_market,Book equity / market cap,6m,56,2254,0.16381627381195868,0.17434947989641633,0.24190870590082023,0.7678571428571429,2.813393942729675,0.004902155411248277,0.03758319148623679,True
native,book_to_market,Book equity / market cap,12m,50,1845,0.31368499335688166,0.27418742956080955,0.3369553130040117,0.72,2.378575016255683,0.017379700228013606,0.05710472932061613,True
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,1m,61,2421,0.014374608047895365,0.00415621260081308,0.2515578902694314,0.5081967213114754,0.5448841370399491,0.5858332069521295,0.79262919955336,False
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,3m,59,2289,0.06331490860947446,0.03571428571428572,0.26530858167281984,0.5423728813559322,1.1950718849548365,0.23205894554960338,0.47907957632995385,False
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,6m,56,2091,0.03950335524285147,-0.05241795689859226,0.3016725390505582,0.42857142857142855,0.47335152050133145,0.6359624109731243,0.7445434728195034,False
native,dividend_yield,Dividends / market cap; fallback stored Dividend_Yield,12m,50,1707,-0.031474336193668545,-0.08633103968580756,0.28536765224104205,0.24,-0.3237269037386968,0.7461448005402886,0.7888160430765921,False
native,cashflow_price,Operating cash flow / market cap,1m,49,2484,0.047246185491420956,0.07222425431371857,0.21570047785035498,0.673469387755102,1.4393954679818517,0.15003850768121474,0.6577558513562008,False
native,cashflow_price,Operating cash flow / market cap,3m,47,2346,0.09742876053416631,0.11708659038837321,0.21396717919510114,0.723404255319149,3.331303355268391,0.0008644034798006572,0.009940640017707558,True
