date,action,symbol,vintage_formed,weight
2021-03-31,BUY,CSR,2021-03-31,0.05555555555555555
2021-03-31,BUY,MSA,2021-03-31,0.05555555555555555
2021-03-31,BUY,SNA,2021-03-31,0.05555555555555555
2021-04-30,BUY,CSR,2021-04-30,0.05555555555555555
2021-04-30,BUY,LHM,2021-04-30,0.05555555555555555
2021-04-30,BUY,MSA,2021-04-30,0.05555555555555555
2021-05-31,BUY,CSR,2021-05-31,0.05555555555555555
2021-05-31,BUY,LHM,2021-05-31,0.05555555555555555
2021-05-31,BUY,MSA,2021-05-31,0.05555555555555555
2021-06-30,BUY,ATW,2021-06-30,0.05555555555555555
2021-06-30,BUY,CSR,2021-06-30,0.05555555555555555
2021-06-30,BUY,MSA,2021-06-30,0.05555555555555555
2021-07-31,BUY,ADH,2021-07-31,0.05555555555555555
2021-07-31,BUY,CSR,2021-07-31,0.05555555555555555
2021-07-31,BUY,JET,2021-07-31,0.05555555555555555
2021-08-31,BUY,ADH,2021-08-31,0.05555555555555555
2021-08-31,BUY,JET,2021-08-31,0.05555555555555555
2021-08-31,BUY,MSA,2021-08-31,0.05555555555555555
2021-09-30,SELL,CSR,2021-03-31,0.05555555555555555
2021-09-30,SELL,MSA,2021-03-31,0.05555555555555555
2021-09-30,SELL,SNA,2021-03-31,0.05555555555555555
2021-09-30,BUY,ADH,2021-09-30,0.05555555555555555
2021-09-30,BUY,CSR,2021-09-30,0.05555555555555555
2021-09-30,BUY,JET,2021-09-30,0.05555555555555555
2021-10-31,SELL,CSR,2021-04-30,0.05555555555555555
2021-10-31,SELL,LHM,2021-04-30,0.05555555555555555
2021-10-31,SELL,MSA,2021-04-30,0.05555555555555555
2021-10-31,BUY,ADH,2021-10-31,0.05555555555555555
2021-10-31,BUY,LHM,2021-10-31,0.05555555555555555
2021-10-31,BUY,MSA,2021-10-31,0.05555555555555555
2021-11-30,SELL,CSR,2021-05-31,0.05555555555555555
2021-11-30,SELL,LHM,2021-05-31,0.05555555555555555
2021-11-30,SELL,MSA,2021-05-31,0.05555555555555555
2021-11-30,BUY,ADH,2021-11-30,0.05555555555555555
2021-11-30,BUY,MSA,2021-11-30,0.05555555555555555
2021-11-30,BUY,SNA,2021-11-30,0.05555555555555555
2021-12-31,SELL,ATW,2021-06-30,0.05555555555555555
2021-12-31,SELL,CSR,2021-06-30,0.05555555555555555
2021-12-31,SELL,MSA,2021-06-30,0.05555555555555555
2021-12-31,BUY,ADH,2021-12-31,0.05555555555555555
2021-12-31,BUY,MSA,2021-12-31,0.05555555555555555
2021-12-31,BUY,SNA,2021-12-31,0.05555555555555555
2022-01-31,SELL,ADH,2021-07-31,0.05555555555555555
2022-01-31,SELL,CSR,2021-07-31,0.05555555555555555
2022-01-31,SELL,JET,2021-07-31,0.05555555555555555
2022-01-31,BUY,ADH,2022-01-31,0.05555555555555555
2022-01-31,BUY,LHM,2022-01-31,0.05555555555555555
2022-01-31,BUY,SNA,2022-01-31,0.05555555555555555
2022-02-28,SELL,ADH,2021-08-31,0.05555555555555555
2022-02-28,SELL,JET,2021-08-31,0.05555555555555555
2022-02-28,SELL,MSA,2021-08-31,0.05555555555555555
2022-02-28,BUY,ADH,2022-02-28,0.05555555555555555
2022-02-28,BUY,CDM,2022-02-28,0.05555555555555555
2022-02-28,BUY,SNA,2022-02-28,0.05555555555555555
2022-03-31,SELL,ADH,2021-09-30,0.05555555555555555
2022-03-31,SELL,CSR,2021-09-30,0.05555555555555555
2022-03-31,SELL,JET,2021-09-30,0.05555555555555555
2022-03-31,BUY,ADH,2022-03-31,0.05555555555555555
2022-03-31,BUY,CDM,2022-03-31,0.05555555555555555
2022-03-31,BUY,SNA,2022-03-31,0.05555555555555555
2022-04-30,SELL,ADH,2021-10-31,0.05555555555555555
2022-04-30,SELL,LHM,2021-10-31,0.05555555555555555
2022-04-30,SELL,MSA,2021-10-31,0.05555555555555555
2022-04-30,BUY,CDM,2022-04-30,0.05555555555555555
2022-04-30,BUY,MSA,2022-04-30,0.05555555555555555
2022-04-30,BUY,SNA,2022-04-30,0.05555555555555555
2022-05-31,SELL,ADH,2021-11-30,0.05555555555555555
2022-05-31,SELL,MSA,2021-11-30,0.05555555555555555
2022-05-31,SELL,SNA,2021-11-30,0.05555555555555555
2022-05-31,BUY,ADH,2022-05-31,0.05555555555555555
2022-05-31,BUY,CDM,2022-05-31,0.05555555555555555
2022-05-31,BUY,SNA,2022-05-31,0.05555555555555555
2022-06-30,SELL,ADH,2021-12-31,0.05555555555555555
2022-06-30,SELL,MSA,2021-12-31,0.05555555555555555
2022-06-30,SELL,SNA,2021-12-31,0.05555555555555555
2022-06-30,BUY,CDM,2022-06-30,0.05555555555555555
2022-06-30,BUY,MSA,2022-06-30,0.05555555555555555
2022-06-30,BUY,SNA,2022-06-30,0.05555555555555555
2022-07-31,SELL,ADH,2022-01-31,0.05555555555555555
2022-07-31,SELL,LHM,2022-01-31,0.05555555555555555
2022-07-31,SELL,SNA,2022-01-31,0.05555555555555555
2022-07-31,BUY,ATW,2022-07-31,0.05555555555555555
2022-07-31,BUY,CDM,2022-07-31,0.05555555555555555
2022-07-31,BUY,MSA,2022-07-31,0.05555555555555555
2022-08-31,SELL,ADH,2022-02-28,0.05555555555555555
2022-08-31,SELL,CDM,2022-02-28,0.05555555555555555
2022-08-31,SELL,SNA,2022-02-28,0.05555555555555555
2022-08-31,BUY,CDM,2022-08-31,0.05555555555555555
2022-08-31,BUY,MSA,2022-08-31,0.05555555555555555
2022-08-31,BUY,SNA,2022-08-31,0.05555555555555555
2022-09-30,SELL,ADH,2022-03-31,0.05555555555555555
2022-09-30,SELL,CDM,2022-03-31,0.05555555555555555
2022-09-30,SELL,SNA,2022-03-31,0.05555555555555555
2022-09-30,BUY,BCP,2022-09-30,0.05555555555555555
2022-09-30,BUY,CDM,2022-09-30,0.05555555555555555
2022-09-30,BUY,MSA,2022-09-30,0.05555555555555555
2022-10-31,SELL,CDM,2022-04-30,0.05555555555555555
2022-10-31,SELL,MSA,2022-04-30,0.05555555555555555
2022-10-31,SELL,SNA,2022-04-30,0.05555555555555555
2022-10-31,BUY,ATW,2022-10-31,0.05555555555555555
2022-10-31,BUY,BCP,2022-10-31,0.05555555555555555
2022-10-31,BUY,CDM,2022-10-31,0.05555555555555555
2022-11-30,SELL,ADH,2022-05-31,0.05555555555555555
2022-11-30,SELL,CDM,2022-05-31,0.05555555555555555
2022-11-30,SELL,SNA,2022-05-31,0.05555555555555555
2022-11-30,BUY,ATW,2022-11-30,0.05555555555555555
2022-11-30,BUY,CDM,2022-11-30,0.05555555555555555
2022-11-30,BUY,MSA,2022-11-30,0.05555555555555555
2022-12-31,SELL,CDM,2022-06-30,0.05555555555555555
2022-12-31,SELL,MSA,2022-06-30,0.05555555555555555
2022-12-31,SELL,SNA,2022-06-30,0.05555555555555555
2022-12-31,BUY,ATW,2022-12-31,0.05555555555555555
2022-12-31,BUY,CDM,2022-12-31,0.05555555555555555
2022-12-31,BUY,JET,2022-12-31,0.05555555555555555
2023-01-31,SELL,ATW,2022-07-31,0.05555555555555555
2023-01-31,SELL,CDM,2022-07-31,0.05555555555555555
2023-01-31,SELL,MSA,2022-07-31,0.05555555555555555
2023-01-31,BUY,CDM,2023-01-31,0.05555555555555555
2023-01-31,BUY,JET,2023-01-31,0.05555555555555555
2023-01-31,BUY,SNA,2023-01-31,0.05555555555555555
2023-02-28,SELL,CDM,2022-08-31,0.05555555555555555
2023-02-28,SELL,MSA,2022-08-31,0.05555555555555555
2023-02-28,SELL,SNA,2022-08-31,0.05555555555555555
2023-02-28,BUY,ADI,2023-02-28,0.05555555555555555
2023-02-28,BUY,CDM,2023-02-28,0.05555555555555555
2023-02-28,BUY,JET,2023-02-28,0.05555555555555555
2023-03-31,SELL,BCP,2022-09-30,0.05555555555555555
2023-03-31,SELL,CDM,2022-09-30,0.05555555555555555
2023-03-31,SELL,MSA,2022-09-30,0.05555555555555555
2023-03-31,BUY,ATW,2023-03-31,0.05555555555555555
2023-03-31,BUY,CDM,2023-03-31,0.05555555555555555
2023-03-31,BUY,JET,2023-03-31,0.05555555555555555
2023-04-30,SELL,ATW,2022-10-31,0.05555555555555555
2023-04-30,SELL,BCP,2022-10-31,0.05555555555555555
2023-04-30,SELL,CDM,2022-10-31,0.05555555555555555
2023-04-30,BUY,ATW,2023-04-30,0.05555555555555555
2023-04-30,BUY,CDM,2023-04-30,0.05555555555555555
2023-04-30,BUY,JET,2023-04-30,0.05555555555555555
2023-05-31,SELL,ATW,2022-11-30,0.05555555555555555
2023-05-31,SELL,CDM,2022-11-30,0.05555555555555555
2023-05-31,SELL,MSA,2022-11-30,0.05555555555555555
2023-05-31,BUY,ADI,2023-05-31,0.05555555555555555
2023-05-31,BUY,ATW,2023-05-31,0.05555555555555555
2023-05-31,BUY,JET,2023-05-31,0.05555555555555555
2023-06-30,SELL,ATW,2022-12-31,0.05555555555555555
2023-06-30,SELL,CDM,2022-12-31,0.05555555555555555
2023-06-30,SELL,JET,2022-12-31,0.05555555555555555
2023-06-30,BUY,ADH,2023-06-30,0.05555555555555555
2023-06-30,BUY,ADI,2023-06-30,0.05555555555555555
2023-06-30,BUY,JET,2023-06-30,0.05555555555555555
2023-07-31,SELL,CDM,2023-01-31,0.05555555555555555
2023-07-31,SELL,JET,2023-01-31,0.05555555555555555
2023-07-31,SELL,SNA,2023-01-31,0.05555555555555555
2023-07-31,BUY,ADH,2023-07-31,0.05555555555555555
2023-07-31,BUY,ADI,2023-07-31,0.05555555555555555
2023-07-31,BUY,JET,2023-07-31,0.05555555555555555
2023-08-31,SELL,ADI,2023-02-28,0.05555555555555555
2023-08-31,SELL,CDM,2023-02-28,0.05555555555555555
2023-08-31,SELL,JET,2023-02-28,0.05555555555555555
2023-08-31,BUY,ADH,2023-08-31,0.05555555555555555
2023-08-31,BUY,ADI,2023-08-31,0.05555555555555555
2023-08-31,BUY,JET,2023-08-31,0.05555555555555555
2023-09-30,SELL,ATW,2023-03-31,0.05555555555555555
2023-09-30,SELL,CDM,2023-03-31,0.05555555555555555
2023-09-30,SELL,JET,2023-03-31,0.05555555555555555
2023-09-30,BUY,ADH,2023-09-30,0.05555555555555555
2023-09-30,BUY,ADI,2023-09-30,0.05555555555555555
2023-09-30,BUY,JET,2023-09-30,0.05555555555555555
2023-10-31,SELL,ATW,2023-04-30,0.05555555555555555
2023-10-31,SELL,CDM,2023-04-30,0.05555555555555555
2023-10-31,SELL,JET,2023-04-30,0.05555555555555555
2023-10-31,BUY,ADH,2023-10-31,0.05555555555555555
2023-10-31,BUY,ADI,2023-10-31,0.05555555555555555
2023-10-31,BUY,CDM,2023-10-31,0.05555555555555555
2023-11-30,SELL,ADI,2023-05-31,0.05555555555555555
2023-11-30,SELL,ATW,2023-05-31,0.05555555555555555
2023-11-30,SELL,JET,2023-05-31,0.05555555555555555
2023-11-30,BUY,ADH,2023-11-30,0.05555555555555555
2023-11-30,BUY,ADI,2023-11-30,0.05555555555555555
2023-11-30,BUY,MSA,2023-11-30,0.05555555555555555
2023-12-31,SELL,ADH,2023-06-30,0.05555555555555555
2023-12-31,SELL,ADI,2023-06-30,0.05555555555555555
2023-12-31,SELL,JET,2023-06-30,0.05555555555555555
2023-12-31,BUY,ADH,2023-12-31,0.041666666666666664
2023-12-31,BUY,ADI,2023-12-31,0.041666666666666664
2023-12-31,BUY,AKT,2023-12-31,0.041666666666666664
2023-12-31,BUY,JET,2023-12-31,0.041666666666666664
2024-01-31,SELL,ADH,2023-07-31,0.05555555555555555
2024-01-31,SELL,ADI,2023-07-31,0.05555555555555555
2024-01-31,SELL,JET,2023-07-31,0.05555555555555555
2024-01-31,BUY,ADH,2024-01-31,0.041666666666666664
2024-01-31,BUY,ADI,2024-01-31,0.041666666666666664
2024-01-31,BUY,AKT,2024-01-31,0.041666666666666664
2024-01-31,BUY,LHM,2024-01-31,0.041666666666666664
2024-02-29,SELL,ADH,2023-08-31,0.05555555555555555
2024-02-29,SELL,ADI,2023-08-31,0.05555555555555555
2024-02-29,SELL,JET,2023-08-31,0.05555555555555555
2024-02-29,BUY,ADH,2024-02-29,0.041666666666666664
2024-02-29,BUY,ADI,2024-02-29,0.041666666666666664
2024-02-29,BUY,AKT,2024-02-29,0.041666666666666664
2024-02-29,BUY,JET,2024-02-29,0.041666666666666664
2024-03-31,SELL,ADH,2023-09-30,0.05555555555555555
2024-03-31,SELL,ADI,2023-09-30,0.05555555555555555
2024-03-31,SELL,JET,2023-09-30,0.05555555555555555
2024-03-31,BUY,ADH,2024-03-31,0.041666666666666664
2024-03-31,BUY,ADI,2024-03-31,0.041666666666666664
2024-03-31,BUY,AKT,2024-03-31,0.041666666666666664
2024-03-31,BUY,JET,2024-03-31,0.041666666666666664
2024-04-30,SELL,ADH,2023-10-31,0.05555555555555555
2024-04-30,SELL,ADI,2023-10-31,0.05555555555555555
2024-04-30,SELL,CDM,2023-10-31,0.05555555555555555
2024-04-30,BUY,ADH,2024-04-30,0.008333333333333333
2024-04-30,BUY,ADI,2024-04-30,0.008333333333333333
2024-04-30,BUY,AKT,2024-04-30,0.008333333333333333
2024-04-30,BUY,ARD,2024-04-30,0.008333333333333333
2024-04-30,BUY,ATW,2024-04-30,0.008333333333333333
2024-04-30,BUY,BAL,2024-04-30,0.008333333333333333
2024-04-30,BUY,BCI,2024-04-30,0.008333333333333333
2024-04-30,BUY,BCP,2024-04-30,0.008333333333333333
2024-04-30,BUY,CDM,2024-04-30,0.008333333333333333
2024-04-30,BUY,DHO,2024-04-30,0.008333333333333333
2024-04-30,BUY,DYT,2024-04-30,0.008333333333333333
2024-04-30,BUY,EQD,2024-04-30,0.008333333333333333
2024-04-30,BUY,JET,2024-04-30,0.008333333333333333
2024-04-30,BUY,LHM,2024-04-30,0.008333333333333333
2024-04-30,BUY,MIC,2024-04-30,0.008333333333333333
2024-04-30,BUY,MSA,2024-04-30,0.008333333333333333
2024-04-30,BUY,RDS,2024-04-30,0.008333333333333333
2024-04-30,BUY,RIS,2024-04-30,0.008333333333333333
2024-04-30,BUY,SID,2024-04-30,0.008333333333333333
2024-04-30,BUY,TQM,2024-04-30,0.008333333333333333
2024-05-31,SELL,ADH,2023-11-30,0.05555555555555555
2024-05-31,SELL,ADI,2023-11-30,0.05555555555555555
2024-05-31,SELL,MSA,2023-11-30,0.05555555555555555
2024-05-31,BUY,ADH,2024-05-31,0.007936507936507936
2024-05-31,BUY,ADI,2024-05-31,0.007936507936507936
2024-05-31,BUY,AKT,2024-05-31,0.007936507936507936
2024-05-31,BUY,ARD,2024-05-31,0.007936507936507936
2024-05-31,BUY,BAL,2024-05-31,0.007936507936507936
2024-05-31,BUY,BCI,2024-05-31,0.007936507936507936
2024-05-31,BUY,BCP,2024-05-31,0.007936507936507936
2024-05-31,BUY,CDM,2024-05-31,0.007936507936507936
2024-05-31,BUY,DHO,2024-05-31,0.007936507936507936
2024-05-31,BUY,DYT,2024-05-31,0.007936507936507936
2024-05-31,BUY,EQD,2024-05-31,0.007936507936507936
2024-05-31,BUY,IBC,2024-05-31,0.007936507936507936
2024-05-31,BUY,JET,2024-05-31,0.007936507936507936
2024-05-31,BUY,LHM,2024-05-31,0.007936507936507936
2024-05-31,BUY,MIC,2024-05-31,0.007936507936507936
2024-05-31,BUY,RDS,2024-05-31,0.007936507936507936
2024-05-31,BUY,RIS,2024-05-31,0.007936507936507936
2024-05-31,BUY,SID,2024-05-31,0.007936507936507936
2024-05-31,BUY,SMI,2024-05-31,0.007936507936507936
2024-05-31,BUY,TGC,2024-05-31,0.007936507936507936
2024-05-31,BUY,TQM,2024-05-31,0.007936507936507936
2024-06-30,SELL,ADH,2023-12-31,0.041666666666666664
2024-06-30,SELL,ADI,2023-12-31,0.041666666666666664
2024-06-30,SELL,AKT,2023-12-31,0.041666666666666664
2024-06-30,SELL,JET,2023-12-31,0.041666666666666664
2024-06-30,BUY,ADH,2024-06-30,0.007936507936507936
2024-06-30,BUY,ADI,2024-06-30,0.007936507936507936
2024-06-30,BUY,AKT,2024-06-30,0.007936507936507936
2024-06-30,BUY,BAL,2024-06-30,0.007936507936507936
2024-06-30,BUY,BCI,2024-06-30,0.007936507936507936
2024-06-30,BUY,CDM,2024-06-30,0.007936507936507936
2024-06-30,BUY,COL,2024-06-30,0.007936507936507936
2024-06-30,BUY,CRS,2024-06-30,0.007936507936507936
2024-06-30,BUY,DHO,2024-06-30,0.007936507936507936
2024-06-30,BUY,DYT,2024-06-30,0.007936507936507936
2024-06-30,BUY,EQD,2024-06-30,0.007936507936507936
2024-06-30,BUY,IBC,2024-06-30,0.007936507936507936
2024-06-30,BUY,JET,2024-06-30,0.007936507936507936
2024-06-30,BUY,MIC,2024-06-30,0.007936507936507936
2024-06-30,BUY,MNG,2024-06-30,0.007936507936507936
2024-06-30,BUY,RDS,2024-06-30,0.007936507936507936
2024-06-30,BUY,RIS,2024-06-30,0.007936507936507936
2024-06-30,BUY,SID,2024-06-30,0.007936507936507936
2024-06-30,BUY,SMI,2024-06-30,0.007936507936507936
2024-06-30,BUY,TGC,2024-06-30,0.007936507936507936
2024-06-30,BUY,TQM,2024-06-30,0.007936507936507936
2024-07-31,SELL,ADH,2024-01-31,0.041666666666666664
2024-07-31,SELL,ADI,2024-01-31,0.041666666666666664
2024-07-31,SELL,AKT,2024-01-31,0.041666666666666664
2024-07-31,SELL,LHM,2024-01-31,0.041666666666666664
2024-07-31,BUY,ADH,2024-07-31,0.007936507936507936
2024-07-31,BUY,ADI,2024-07-31,0.007936507936507936
2024-07-31,BUY,AKT,2024-07-31,0.007936507936507936
2024-07-31,BUY,BAL,2024-07-31,0.007936507936507936
2024-07-31,BUY,BCI,2024-07-31,0.007936507936507936
2024-07-31,BUY,CDM,2024-07-31,0.007936507936507936
2024-07-31,BUY,CRS,2024-07-31,0.007936507936507936
2024-07-31,BUY,DHO,2024-07-31,0.007936507936507936
2024-07-31,BUY,DYT,2024-07-31,0.007936507936507936
2024-07-31,BUY,EQD,2024-07-31,0.007936507936507936
2024-07-31,BUY,IBC,2024-07-31,0.007936507936507936
2024-07-31,BUY,JET,2024-07-31,0.007936507936507936
2024-07-31,BUY,MIC,2024-07-31,0.007936507936507936
2024-07-31,BUY,MNG,2024-07-31,0.007936507936507936
2024-07-31,BUY,MSA,2024-07-31,0.007936507936507936
2024-07-31,BUY,RDS,2024-07-31,0.007936507936507936
2024-07-31,BUY,RIS,2024-07-31,0.007936507936507936
2024-07-31,BUY,SID,2024-07-31,0.007936507936507936
2024-07-31,BUY,SMI,2024-07-31,0.007936507936507936
2024-07-31,BUY,TGC,2024-07-31,0.007936507936507936
2024-07-31,BUY,TQM,2024-07-31,0.007936507936507936
2024-08-31,SELL,ADH,2024-02-29,0.041666666666666664
2024-08-31,SELL,ADI,2024-02-29,0.041666666666666664
2024-08-31,SELL,AKT,2024-02-29,0.041666666666666664
2024-08-31,SELL,JET,2024-02-29,0.041666666666666664
2024-08-31,BUY,ADH,2024-08-31,0.007936507936507936
2024-08-31,BUY,ADI,2024-08-31,0.007936507936507936
2024-08-31,BUY,AKT,2024-08-31,0.007936507936507936
2024-08-31,BUY,ATW,2024-08-31,0.007936507936507936
2024-08-31,BUY,BAL,2024-08-31,0.007936507936507936
2024-08-31,BUY,BCI,2024-08-31,0.007936507936507936
2024-08-31,BUY,BCP,2024-08-31,0.007936507936507936
2024-08-31,BUY,CDM,2024-08-31,0.007936507936507936
2024-08-31,BUY,COL,2024-08-31,0.007936507936507936
2024-08-31,BUY,CRS,2024-08-31,0.007936507936507936
2024-08-31,BUY,DHO,2024-08-31,0.007936507936507936
2024-08-31,BUY,DYT,2024-08-31,0.007936507936507936
2024-08-31,BUY,JET,2024-08-31,0.007936507936507936
2024-08-31,BUY,MNG,2024-08-31,0.007936507936507936
2024-08-31,BUY,MSA,2024-08-31,0.007936507936507936
2024-08-31,BUY,RDS,2024-08-31,0.007936507936507936
2024-08-31,BUY,SID,2024-08-31,0.007936507936507936
2024-08-31,BUY,SMI,2024-08-31,0.007936507936507936
2024-08-31,BUY,SRM,2024-08-31,0.007936507936507936
2024-08-31,BUY,TGC,2024-08-31,0.007936507936507936
2024-08-31,BUY,TQM,2024-08-31,0.007936507936507936
2024-09-30,SELL,ADH,2024-03-31,0.041666666666666664
2024-09-30,SELL,ADI,2024-03-31,0.041666666666666664
2024-09-30,SELL,AKT,2024-03-31,0.041666666666666664
2024-09-30,SELL,JET,2024-03-31,0.041666666666666664
2024-09-30,BUY,ADH,2024-09-30,0.007936507936507936
2024-09-30,BUY,ADI,2024-09-30,0.007936507936507936
2024-09-30,BUY,AKT,2024-09-30,0.007936507936507936
2024-09-30,BUY,ATW,2024-09-30,0.007936507936507936
2024-09-30,BUY,BAL,2024-09-30,0.007936507936507936
2024-09-30,BUY,BCP,2024-09-30,0.007936507936507936
2024-09-30,BUY,CDM,2024-09-30,0.007936507936507936
2024-09-30,BUY,CRS,2024-09-30,0.007936507936507936
2024-09-30,BUY,DHO,2024-09-30,0.007936507936507936
2024-09-30,BUY,IBC,2024-09-30,0.007936507936507936
2024-09-30,BUY,JET,2024-09-30,0.007936507936507936
2024-09-30,BUY,MNG,2024-09-30,0.007936507936507936
2024-09-30,BUY,MSA,2024-09-30,0.007936507936507936
2024-09-30,BUY,RDS,2024-09-30,0.007936507936507936
2024-09-30,BUY,S2M,2024-09-30,0.007936507936507936
2024-09-30,BUY,SID,2024-09-30,0.007936507936507936
2024-09-30,BUY,SMI,2024-09-30,0.007936507936507936
2024-09-30,BUY,SRM,2024-09-30,0.007936507936507936
2024-09-30,BUY,STR,2024-09-30,0.007936507936507936
2024-09-30,BUY,TGC,2024-09-30,0.007936507936507936
2024-09-30,BUY,ZDJ,2024-09-30,0.007936507936507936
2024-10-31,SELL,ADH,2024-04-30,0.008333333333333333
2024-10-31,SELL,ADI,2024-04-30,0.008333333333333333
2024-10-31,SELL,AKT,2024-04-30,0.008333333333333333
2024-10-31,SELL,ARD,2024-04-30,0.008333333333333333
2024-10-31,SELL,ATW,2024-04-30,0.008333333333333333
2024-10-31,SELL,BAL,2024-04-30,0.008333333333333333
2024-10-31,SELL,BCI,2024-04-30,0.008333333333333333
2024-10-31,SELL,BCP,2024-04-30,0.008333333333333333
2024-10-31,SELL,CDM,2024-04-30,0.008333333333333333
2024-10-31,SELL,DHO,2024-04-30,0.008333333333333333
2024-10-31,SELL,DYT,2024-04-30,0.008333333333333333
2024-10-31,SELL,EQD,2024-04-30,0.008333333333333333
2024-10-31,SELL,JET,2024-04-30,0.008333333333333333
2024-10-31,SELL,LHM,2024-04-30,0.008333333333333333
2024-10-31,SELL,MIC,2024-04-30,0.008333333333333333
2024-10-31,SELL,MSA,2024-04-30,0.008333333333333333
2024-10-31,SELL,RDS,2024-04-30,0.008333333333333333
2024-10-31,SELL,RIS,2024-04-30,0.008333333333333333
2024-10-31,SELL,SID,2024-04-30,0.008333333333333333
2024-10-31,SELL,TQM,2024-04-30,0.008333333333333333
2024-10-31,BUY,ADH,2024-10-31,0.007936507936507936
2024-10-31,BUY,ADI,2024-10-31,0.007936507936507936
2024-10-31,BUY,AKT,2024-10-31,0.007936507936507936
2024-10-31,BUY,BAL,2024-10-31,0.007936507936507936
2024-10-31,BUY,CRS,2024-10-31,0.007936507936507936
2024-10-31,BUY,DHO,2024-10-31,0.007936507936507936
2024-10-31,BUY,IBC,2024-10-31,0.007936507936507936
2024-10-31,BUY,JET,2024-10-31,0.007936507936507936
2024-10-31,BUY,MNG,2024-10-31,0.007936507936507936
2024-10-31,BUY,MSA,2024-10-31,0.007936507936507936
2024-10-31,BUY,RDS,2024-10-31,0.007936507936507936
2024-10-31,BUY,REB,2024-10-31,0.007936507936507936
2024-10-31,BUY,S2M,2024-10-31,0.007936507936507936
2024-10-31,BUY,SMI,2024-10-31,0.007936507936507936
2024-10-31,BUY,SNA,2024-10-31,0.007936507936507936
2024-10-31,BUY,SRM,2024-10-31,0.007936507936507936
2024-10-31,BUY,STR,2024-10-31,0.007936507936507936
2024-10-31,BUY,TGC,2024-10-31,0.007936507936507936
2024-10-31,BUY,TMA,2024-10-31,0.007936507936507936
