signal,periods,bottom_return,middle_return,top_return,top_minus_bottom,avg_names_bottom,avg_names_top,monotonic
earnings_yield,44,0.1834826902241691,0.07686600187370399,0.11697407812009879,-0.06650861210407032,16.522727272727273,16.818181818181817,False
book_to_market,44,0.034373765819281824,0.0961324671488553,0.20039614873124914,0.1660223829119673,15.613636363636363,16.113636363636363,True
dividend_yield,44,0.1614699480836583,0.09209284298818932,0.0710452718706261,-0.09042467621303223,15.136363636363637,15.545454545454545,False
cashflow_price,35,0.21261142887777415,0.1018520285938296,0.3224646911847641,0.10985326230698995,15.457142857142857,15.571428571428571,False
sales_price,44,0.0626753153568035,0.12827818970335458,0.19080228900262408,0.12812697364582057,16.522727272727273,16.818181818181817,True
ebitda_ev_yield,44,0.15121480742453308,0.1520550070267883,0.10797810649253611,-0.04323670093199699,14.772727272727273,15.045454545454545,False
small_size,56,0.029357229863216507,0.0826106679064755,0.19554545857197883,0.1661882287087623,13.625,14.071428571428571,True
size_log_mcap,56,0.18301522735564366,0.09571476119228366,0.03471044800371017,-0.1483047793519335,13.625,14.071428571428571,False
operating_profitability_approx,44,0.15801395127206178,0.1205419763776847,0.054622302692134306,-0.1033916485799275,15.977272727272727,16.454545454545453,False
gross_profitability,35,0.32615504517229427,0.2045573585195898,0.1251231885883538,-0.2010318565839405,14.8,15.257142857142858,False
roe_standalone,44,0.19657373338632017,0.09891072624086009,0.07712811614373151,-0.1194456172425887,16.886363636363637,17.15909090909091,False
roa_standalone,44,0.17327774055842443,0.14238085494351646,0.059260661013246965,-0.11401707954517745,16.886363636363637,17.15909090909091,False
accrual_quality,44,0.12357296424938212,0.10438804384010957,0.15032062233801288,0.026747658088630756,16.454545454545453,16.613636363636363,False
piotroski_lite,70,0.10904509363124067,0.0989402997164519,0.08845899019315026,-0.020586103438090392,11.757142857142858,12.271428571428572,False
conservative_investment,44,0.08047954084077046,0.12880768000771856,0.15826385917359678,0.0777843183328263,16.613636363636363,16.886363636363637,True
low_leverage,44,0.10404248344508163,0.17647138723002528,0.09438230078504352,-0.009660182660038114,16.886363636363637,17.15909090909091,False
momentum_12_1,57,0.08655318771098369,0.08945321983327191,0.2190883780009088,0.1325351902899251,9.526315789473685,10.105263157894736,True
momentum_6_1,63,0.11900891334442534,0.0906891619524464,0.17067130167205863,0.051662388327633285,10.492063492063492,11.079365079365079,False
short_reversal,69,0.1281128434817327,0.10214473807323945,0.09231235177731552,-0.03580049170441722,11.27536231884058,11.73913043478261,False
beta_high,64,0.10691346168680713,0.08818454261309368,0.17673760063678773,0.06982413894998062,10.6875,11.265625,False
beta_low,64,0.18176327249502916,0.09147653753542971,0.1030812193733293,-0.07868205312169987,10.6875,11.265625,False
low_total_volatility,64,0.20690304577702792,0.11469783173914,0.059048771627528585,-0.1478542741494993,10.6875,11.265625,False
low_idio_volatility,64,0.20907366266042265,0.10940443742941215,0.061570391990464844,-0.14750327066995783,10.6875,11.265625,False
